Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urban_share_2010;urban_share_2020;urban_share_2030;urban_share_2040;urban_share_2050;urban_share_2060;urban_share_2070;urban_share_2080;urban_share_2090;urban_share_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100;urbangrowthrate2020;urbangrowthrate2030;urbangrowthrate2040;urbangrowthrate2050;urbangrowthrate2060;urbangrowthrate2070;urbangrowthrate2080;urbangrowthrate2090;urbangrowthrate2100;Values
PER;Peru;SSP3_PER;29.077;32.363;35.93;38.998;41.558;43.652;45.488;47.205;48.918;50.741;76.92;77.546;78.209;78.907;79.641;80.407;81.205;82.03;82.88;83.75;22.3660284;25.096212;28.1004937;30.7721519;33.0972068;35.0992636;36.9385304;38.7222615;40.5432384;42.4955875;1.12206832;1.11971057;1.09507513;1.07555711;1.06049021;1.05240186;1.04828917;1.04702662;1.04815474;PER
PHL;Philippines;SSP3_PHL;93.261;112.048;133.169;153.437;173.52;192.829;210.579;226.945;241.955;255.277;48.903;51.372;53.553;55.476;57.167;58.655;59.965;61.119;62.136;63.035;45.6074268;57.5612986;71.3159946;85.1207101;99.1961784;113.10385;126.273697;138.706515;150.341159;160.913857;1.26210362;1.23895736;1.1935711;1.16535892;1.1402037;1.11644031;1.09845928;1.08387958;1.07032471;PHL
PNG;Papua New Guinea;SSP3_PNG;6.858;8.355;9.985;11.5;12.859;14.063;15.072;15.906;16.597;17.169;12.526;15.799;18.411;20.254;21.449;22.185;22.624;22.88;23.029;23.115;0.85903308;1.32000645;1.83833835;2.32921;2.75812691;3.11987655;3.40988928;3.6392928;3.82212313;3.96861435;1.53661888;1.39267376;1.26701921;1.18414695;1.13115772;1.09295648;1.06727594;1.05023787;1.03832718;PNG
POL;Poland;SSP3_POL;38.277;37.947;36.434;33.915;31.079;28.048;24.628;21.318;18.566;16.171;60.958;62.961;64.636;66.043;67.228;68.232;69.086;69.814;70.438;70.973;23.3328937;23.8918107;23.5494802;22.3984835;20.8937901;19.1377114;17.0145001;14.8829485;13.0775191;11.4770438;1.02395404;0.985671641;0.951124323;0.932821642;0.91595212;0.889056155;0.87472147;0.878691414;0.877616294;POL
PRI;Puerto Rico;SSP3_PRI;3.749;3.754;3.788;3.757;3.691;3.607;3.535;3.496;3.489;3.519;98.785;99.801;99.874;99.908;99.928;99.941;99.951;99.958;99.963;99.967;3.70344965;3.74652954;3.78322712;3.75354356;3.68834248;3.60487187;3.53326785;3.49453168;3.48770907;3.51783873;1.01163237;1.00979509;0.992153905;0.98262946;0.977369073;0.980136875;0.98903673;0.998047633;1.00863881;PRI
PRK;North Korea;SSP3_PRK;24.346;25.485;26.339;26.402;26.122;25.707;25.137;24.659;24.334;24.147;60.215;62.208;64.046;65.739;67.299;68.737;70.065;71.29;72.424;73.474;14.6599439;15.8537088;16.8690759;17.3564108;17.5798448;17.6702206;17.612239;17.5794011;17.6236562;17.7417668;1.08143039;1.06404603;1.02888924;1.01287328;1.00514088;0.996718686;0.998135504;1.00251744;1.00670182;PRK
PRT;Portugal;SSP3_PRT;10.676;10.702;10.434;10.05;9.495;8.779;7.991;7.232;6.533;5.857;60.703;62.71;64.401;65.831;67.044;68.079;68.964;69.724;70.379;70.944;6.48065228;6.7112242;6.71960034;6.6160155;6.3658278;5.97665541;5.51091324;5.04243968;4.59786007;4.15519008;1.03557851;1.00124808;0.984584672;0.962184535;0.938865392;0.92207311;0.914991665;0.911832439;0.903722605;PRT
PRY;Paraguay;SSP3_PRY;6.455;7.655;8.942;10.149;11.309;12.376;13.338;14.246;15.117;15.944;61.495;64.221;65.955;67.078;67.817;68.307;68.634;68.855;69.003;69.103;3.96950225;4.91611755;5.8976961;6.80774622;7.66942453;8.45367432;9.15440292;9.8090833;10.4311835;11.0177823;1.23847204;1.19966539;1.15430604;1.12657321;1.10225667;1.08289042;1.07151536;1.06342083;1.05623512;PRY
PSE;Palestina;SSP3_PSE;4.039;5.093;6.311;7.511;8.726;9.96;11.211;12.532;13.922;15.364;74.144;75.526;76.658;77.593;78.373;79.028;79.582;80.052;80.454;80.799;2.99467616;3.84653918;4.83788638;5.82801023;6.83882798;7.8711888;8.92193802;10.0321166;11.2008059;12.4139584;1.28445914;1.25772445;1.20466042;1.17344131;1.15095581;1.13349308;1.12443245;1.11649478;1.10830939;PSE
PYF;French Polynesia;SSP3_PYF;0.271;0.304;0.337;0.365;0.394;0.422;0.451;0.485;0.523;0.565;51.443;52.836;54.32;55.895;57.562;59.323;61.173;63.108;65.121;67.202;0.13941053;0.16062144;0.1830584;0.20401675;0.22679428;0.25034306;0.27589023;0.3060738;0.34058283;0.3796913;1.15214712;1.13968845;1.11448997;1.11164539;1.10383322;1.10204864;1.10940427;1.11274742;1.11482807;PYF
