id,GL_newval,Uitleg_NVK,LHM_2_org,LHM_2_name_org,LHM_name_edit,LHM_name_edit_RP,Opmerking
125,126,"Waterloop, evt met riet, in buitengebied",16,water,water,water,
126,127,Droogvallend,13,moeras,moeras,moeras,
127,128,Gebouw op bedrijventerrein,18,stedelijk grasland,nodata,nodata,alle stedelijke klassen zijn naar NoData gegaan om mogelijke fouten te voorkomen
128,129,Gebouw in de stad,18,stedelijk grasland,nodata,nodata,
129,130,Gebouw in buitengebied,18,stedelijk grasland,nodata,nodata,
130,131,Grasland in de stad,18,stedelijk grasland,overig_gras,overig_gras,behalve deze
131,132,Gemengd bos in de stad,11,loofbos,loofbos,loofbos,
132,133,Loofbos in de stad,11,loofbos,loofbos,loofbos,
133,134,Naaldbos in de stad,12,naaldbos,naaldbos,naaldbos,
134,135,Infrastructuur in de stad,18,stedelijk grasland,nodata,nodata,
135,136,parkeerplaats in de stad,18,stedelijk grasland,nodata,nodata,
136,137,Bedrijventerrein,18,stedelijk grasland,nodata,nodata,
137,138,Overige bomen op overig grondgebruik in stedelijk gebied,11,loofbos,loofbos,loofbos,
138,139,Overig grondgebruik in stedelijk gebied,18,stedelijk grasland,nodata,nodata,
139,140,Autosnelweg,18,stedelijk grasland,nodata,nodata,
140,141,Hoofdweg,18,stedelijk grasland,nodata,nodata,
141,142,Regionale weg,18,stedelijk grasland,nodata,nodata,
142,143,Lokale weg,18,stedelijk grasland,nodata,nodata,
143,144,Straat,18,stedelijk grasland,nodata,nodata,
144,145,"Overige infrastructuur, half- of geheel onverhard",18,stedelijk grasland,nodata,nodata,
145,146,"Infrastructuur, langzaam verkeer",18,stedelijk grasland,nodata,nodata,
146,147,parkeerplaats,18,stedelijk grasland,nodata,nodata,
147,148,Overige infrastructuur,18,stedelijk grasland,nodata,nodata,
148,149,Spoorbaanlichaam (op brug),18,stedelijk grasland,nodata,nodata,
149,150,Kas,8,glastuinbouw,glastuinbouw,glastuinbouw,
150,151,"Grasland, evt met riet",1,gras,overig_gras,overig_gras,"deze blijkt geen agrarisch gras te zijn, maar vaak bermen etc. Dus niet geschikt om bij grondgebonden veeteelt te voegen RP: ook tuinen buitengebied meen ik"
151,152,Bouwland,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
152,153,Boomgaard,9,boomgaard,boomgaard,boomgaard,
153,154,Fruitkwekerij,9,boomgaard,boomgaard,boomgaard,
154,155,Boomkwekerij,7,boomteelt,boomteelt,boomteelt,
155,156,Braakliggend evt met riet,15,kale grond,kale_grond,kale_grond,
156,157,Bos op dodenakker,11,loofbos,loofbos,loofbos,
157,158,Gemengd bos,11,loofbos,loofbos,loofbos,
158,159,Loofbos,11,loofbos,loofbos,loofbos,
159,160,Naaldbos,12,naaldbos,naaldbos,naaldbos,
160,161,Populierenbos,11,loofbos,loofbos,loofbos,
161,162,Griend,13,moeras,moeras,moeras,
162,163,"Zand, evt met riet",15,kale grond,kale_grond,kale_grond,
163,164,"Duin, evt met riet",14,duinvegetatie,duinvegetatie,duinvegetatie,
164,165,"Heide, evt met riet",20,heidevegetatie,heide,heide,
165,166,Bomen op overig grondgebruik in buitengebied,11,loofbos,loofbos,loofbos,
166,167,"Overig grondgebruik, evt met riet",18,stedelijk grasland,nodata,nodata,
167,168,Gebouw in de stad met groen dak,28,,nodata,nodata,
168,169,Gebouw op bedrijventerrein met groen dak,28,,nodata,nodata,
169,170,Wonen - uitbreiding,18,stedelijk grasland,nodata,nodata,
170,171,Nijverheid en Logistiek - uitbreiding,18,stedelijk grasland,nodata,nodata,
171,172,Detailhandel - uitbreiding,18,stedelijk grasland,nodata,nodata,
172,173,OV consumentendiensten - uitbreiding,18,stedelijk grasland,nodata,nodata,
173,174,Zakelijke dienstverlening - uitbreiding,18,stedelijk grasland,nodata,nodata,
174,175,Overheid kw-diensten - uitbreiding,18,stedelijk grasland,nodata,nodata,
175,176,Wonen - nieuw,18,stedelijk grasland,nodata,nodata,
176,177,Nijverheid en Logistiek - nieuw,18,stedelijk grasland,nodata,nodata,
177,178,Detailhandel - nieuw,18,stedelijk grasland,nodata,nodata,
178,179,OV consumentendiensten - nieuw,18,stedelijk grasland,nodata,nodata,
179,180,Zakelijke dienstverlening - nieuw,18,stedelijk grasland,nodata,nodata,
180,181,Overheid kw-diensten - nieuw,18,stedelijk grasland,nodata,nodata,
