stations_code, stations_naam,,,   
fbr     ,Beveren                        ,12032  ,12395  ,0
fdp     ,Duffel                         ,12032  ,12395  ,0
feldh   ,Feldhausen                     ,12032  ,12395  ,0
fffm    ,Frankfurt (M) Hbf              ,12032  ,12395  ,0
ffs     ,Frankfurt (Main) Sud           ,12032  ,12395  ,0
fgsp    ,Gent -St .Pieters              ,12032  ,12395  ,0
fhs     ,Hasselt                        ,12032  ,12395  ,0
fie     ,Bilzen                         ,12032  ,12395  ,0
fki     ,Kontich                        ,12032  ,12395  ,0
fkth    ,Kalmthout                      ,12032  ,12395  ,0
flb     ,Limburg Sud                    ,12032  ,12395  ,0
flensb  ,Flensburg                      ,12032  ,12395  ,0
flgp    ,Liege-Saint-Lambert            ,12032  ,12395  ,0
flj     ,Liege-Carre                    ,12032  ,12395  ,0
flk     ,Lokeren                        ,12032  ,12395  ,0
fmb     ,Boom                           ,12032  ,12395  ,0
fmz     ,Mainz Hbf                      ,12032  ,12395  ,0
fn      ,Franeker                       ,12032  ,12395  ,0
fnaf    ,Frankfurt Flughafen Fernb      ,12032  ,12395  ,0
fnu     ,Nieuwkerken-Waas               ,12032  ,12395  ,0
fnzd    ,Antwerpen-Zuid                 ,12032  ,12395  ,0
foe     ,Hoboken-Polder                 ,12032  ,12395  ,0
fr      ,Brugge                         ,12032  ,12395  ,0
frp     ,Puurs                          ,12032  ,12395  ,0
fsn     ,Sint-Niklaas                   ,12032  ,12395  ,0
fsv     ,Ruisbroek-Sauvegarde           ,12032  ,12395  ,0
ftg     ,Tongeren                       ,12032  ,12395  ,0
fvs     ,Vise                           ,12032  ,12395  ,0
fvsg    ,Vise Grens                     ,12032  ,12395  ,0
fwa     ,Sint-Katelijne-Waver           ,12032  ,12395  ,0
fwd     ,Feanwalden                     ,12032  ,12395  ,0
g       ,Gronau Westf                   ,12032  ,12395  ,0
gbg     ,Gramsbergen                    ,12032  ,12395  ,0
gbr     ,Glanerbrug                     ,12032  ,12395  ,0
gd      ,Gouda                          ,12032  ,12395  ,0
gdg     ,Gouda Goverwelle               ,12032  ,12395  ,0
gdm     ,Geldermalsen                   ,12032  ,12395  ,0
gdp     ,Diepenbeek                     ,12032  ,12395  ,0
gdr     ,Gaanderen                      ,12032  ,12395  ,0
geisl   ,Geislingen                     ,12032  ,12395  ,0
gerp    ,Groningen Europapark           ,12032  ,12395  ,0
gk      ,Grijpskerk                     ,12032  ,12395  ,0
gkt     ,Kijkuit                        ,12032  ,12395  ,0
gln     ,Geleen Oost                    ,12032  ,12395  ,0
gmd     ,Mortsel-Deurnesteenweg         ,12032  ,12395  ,0
gmog    ,Mortsel-Oude God               ,12032  ,12395  ,0
gn      ,Groningen                      ,12032  ,12395  ,0
gnd     ,Hardinxveld-Giessendam         ,12032  ,12395  ,0
gnn     ,Groningen Noord                ,12032  ,12395  ,0
go      ,Goor                           ,12032  ,12395  ,0
gp      ,Geldrop                        ,12032  ,12395  ,0
gr      ,Gorinchem                      ,12032  ,12395  ,0
gs      ,Goes                           ,12032  ,12395  ,0
