sbi08,omschr,sectie,afdeling,sbi08_3,sbi08_4,sector
17129,Vervaardiging van papier en karton,C,17,171,1712,02
17211,Vervaardiging van verpakkingsmiddelen van papier en karton,C,17,172,1721,02
17212,Vervaardiging van golfpapier en -karton,C,17,172,1721,02
1722,Vervaardiging van huishoudelijke en sanitaire papierwaren,C,17,172,1722,02
1723,Vervaardiging van kantoorbenodigdheden van papier,C,17,172,1723,02
1724,Vervaardiging van behangselpapier,C,17,172,1724,02
1729,Vervaardiging van overige papier- en kartonwaren,C,17,172,1729,02
1811,Drukkerijen van dagbladen,C,18,181,1811,02
18121,Drukkerijen van boeken e.d.,C,18,181,1812,02
18122,Drukkerijen van tijdschriften,C,18,181,1812,02
18123,Drukkerijen van reclame,C,18,181,1812,02
18124,Drukkerijen van verpakkingen,C,18,181,1812,02
18125,Drukkerijen van formulieren,C,18,181,1812,02
18129,Overige drukkerijen (rest),C,18,181,1812,02
1813,Prepress- en premedia-activiteiten,C,18,181,1813,02
1814,Grafische afwerking en overige verwante activiteiten,C,18,181,1814,02
1820,Reproductie van opgenomen media,C,18,182,1820,02
1910,Vervaardiging van cokesovenproducten,C,19,191,1910,02
19201,Aardolieraffinage,C,19,192,1920,02
19202,Aardolieverwerking (geen -raffinage),C,19,192,1920,02
2011,Vervaardiging van industriële gassen,C,20,201,2011,02
2012,Vervaardiging van kleur- en verfstoffen,C,20,201,2012,02
2013,Vervaardiging van overige anorganische basischemicaliën,C,20,201,2013,02
20141,Vervaardiging van petrochemische producten,C,20,201,2014,02
20149,Vervaardiging van overige organische basischemicaliën,C,20,201,2014,02
2015,Vervaardiging van kunstmeststoffen en stikstofverbindingen,C,20,201,2015,02
2016,Vervaardiging van kunststof in primaire vorm,C,20,201,2016,02
2017,Vervaardiging van synthetische rubber in primaire vorm,C,20,201,2017,02
2020,Vervaardiging van verdelgingsmiddelen en landbouwchemicaliën,C,20,202,2020,02
2030,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek",C,20,203,2030,02
2041,"Vervaardiging van zeep, was-, poets- en reinigingsmiddelen",C,20,204,2041,02
2042,Vervaardiging van parfums en cosmetica,C,20,204,2042,02
2051,Vervaardiging van kruit en springstoffen en van lucifers,C,20,205,2051,02
