SBI08_5,Omschrijving
3012,3012: Bouw van sport- en recreatievaartuigen
3020,3020: Vervaardiging van rollend spoor- en tramwegmaterieel
3030,3030: Vervaardiging van vliegtuigen en onderdelen daarvoor
3040,3040: Vervaardiging van militaire gevechtsvoertuigen
3091,3091: Vervaardiging van motor- en bromfietsen
3092,3092: Vervaardiging van fietsen en invalidenwagens
3099,3099: Vervaardiging van overige transportmiddelen (rest)
31011,31011: Interieurbouw
31012,31012: Vervaardiging van bedrijfsmeubels
3102,3102: Vervaardiging van keukenmeubels
3103,3103: Vervaardiging van matrassen
3109,3109: Vervaardiging van overige meubels
3211,3211: Slaan van munten en medailles
3212,3212: Bewerken van edelstenen en vervaardiging van sieraden e.d. (geen imitatie)
3213,3213: Vervaardiging van imitatiesieraden
3220,3220: Vervaardiging van muziekinstrumenten
3230,3230: Vervaardiging van sportartikelen
3240,3240: Vervaardiging van speelgoed en spellen
32501,32501: Tandtechnische bedrijven
32502,32502: Vervaardiging van medische instrumenten en hulpmiddelen (geen tandtechniek)
3291,3291: Vervaardiging van borstelwaren
32991,32991: Sociale werkvoorziening
32999,32999: Vervaardiging van overige goederen (rest)
3311,3311: Reparatie van producten van metaal
33121,33121: Reparatie en onderhoud van machines voor algemeen gebruik en machine-onderdelen (geen gereedschap)
33122,33122: Reparatie en onderhoud van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen
33123,33123: Reparatie en onderhoud van machines voor een specifieke bedrijfstak
3313,3313: Reparatie van elektronische en optische apparatuur
3314,3314: Reparatie van elektrische apparatuur
3315,3315: Reparatie en onderhoud van schepen
3316,3316: Reparatie en onderhoud van vliegtuigen
3317,3317: Reparatie en onderhoud van overige transportmiddelen
3319,3319: Reparatie van overige apparatuur
3321,3321: Installatie van ketels en tanks
33221,33221: Installatie van machines voor algemeen gebruik (geen gereedschap)
33222,33222: Installatie van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen
33223,33223: Installatie van machines voor een specifieke bedrijfstak
3323,3323: Installatie van elektronische en optische apparatuur
3324,3324: Installatie van elektrische apparatuur
3329,3329: Installatie van overige toebehoren
35111,"35111: Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales"
35112,35112: Productie van elektriciteit door windenergie
35113,"35113: Productie van elektriciteit door zonnecellen, warmtepompen en waterkracht"
3512,"3512: Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water"
3513,3513: Distributie van elektriciteit en gasvormige brandstoffen via leidingen
3514,3514: Handel in elektriciteit en in gas via leidingen
3520,3520: Productie van aardgas
3530,3530: Productie en distributie van stoom en gekoelde lucht
3600,3600: Winning en distributie van water
3700,3700: Afvalwaterinzameling en -behandeling
3811,3811: Inzameling van onschadelijk afval
3812,3812: Inzameling van schadelijk afval
3821,3821: Behandeling van onschadelijk afval
3822,3822: Behandeling van schadelijk afval
3831,"3831: Sloop van schepen, witgoed, computers e.d."
3832,3832: Gesorteerd materiaal voorbereiden tot recycling
3900,3900: Sanering en overig afvalbeheer
4110,4110: Projectontwikkeling
4120,4120: Algemene burgerlijke en utiliteitsbouw
42111,42111: Wegenbouw
42112,42112: Stratenmaken
4212,4212: Bouw van boven- en ondergrondse spoorwegen
4213,4213: Bouw van kunstwerken
