"Region";"CountryName";"ISO1";"2010";"2020";"2030";"2040";"2050";"2060";"2070";"2080";"2090";"2100"
"SHN";"Saint Helena, Ascension and Tristan da Cunha";654.00;12464.43;12247.58;12045.36;11859.00;11689.24;11536.32;11400.06;11279.94;11175.14;11084.64
"KNA";"Saint Kitts and Nevis";659.00;16565.32;16150.40;15770.06;15429.60;15131.66;14876.51;14662.54;14486.72;14345.09;14233.20
"AIA";"Anguilla";660.00;17516.26;17275.26;17046.03;16829.60;16626.71;16437.84;16263.22;16102.84;15956.50;15823.83
"LCA";"Saint Lucia";662.00;33814.35;33562.74;32844.72;31761.95;30457.31;29084.11;27777.15;26633.05;25702.93;24996.45
"SPM";"Saint Pierre and Miquelon";666.00;5065.66;5008.25;4951.71;4896.29;4842.25;4789.81;4739.15;4690.44;4643.81;4599.35
"VCT";"Saint Vincent and the Grenadines";670.00;4653.40;4195.01;3907.97;3781.77;3741.44;3731.92;3730.24;3730.02;3730.00;3730.00
"SMR";"San Marino";674.00;4235.77;4136.04;4041.67;3954.22;3874.77;3803.92;3741.87;3688.48;3643.31;3605.72
"STP";"Sao Tome and Principe";678.00;3292.82;3421.11;3465.47;3456.98;3431.91;3391.48;3337.59;3272.69;3199.62;3121.34
"SAU";"Saudi Arabia";682.00;4981.62;4853.11;4740.14;4643.53;4563.07;4497.75;4446.02;4406.02;4375.81;4353.54
"SEN";"Senegal";686.00;17517.65;17862.44;17796.25;17602.57;17295.38;16896.15;16431.34;15929.50;15418.43;14922.72
"SYC";"Seychelles";690.00;4258.96;4158.68;4063.80;3975.87;3895.98;3824.74;3762.36;3708.67;3663.25;3625.46
"SLE";"Sierra Leone";694.00;6516.28;6607.18;6662.59;6681.21;6677.66;6667.04;6649.48;6625.15;6594.31;6557.28
"SGP";"Singapore";702.00;5476.35;5210.40;5011.75;4877.56;4795.08;4748.77;4724.94;4713.69;4708.81;4706.85
"SVK";"Slovakia";703.00;3212.33;3136.70;3065.13;2998.81;2938.55;2884.82;2837.77;2797.28;2763.02;2734.51
"VNM";"Viet Nam";704.00;12392.29;12300.08;12036.94;11640.12;11162.00;10658.75;10179.77;9760.48;9419.61;9160.70
"SVN";"Slovenia";705.00;3521.28;3266.97;3080.28;2967.05;2909.32;2884.35;2875.12;2872.20;2871.41;2871.22
"SOM";"Somalia";706.00;9454.66;8771.82;8270.57;7966.54;7811.54;7744.49;7719.72;7711.88;7709.75;7709.25
"ZAF";"South Africa";710.00;4981.62;4853.11;4740.14;4643.53;4563.07;4497.75;4446.02;4406.02;4375.81;4353.54
"ZWE";"Zimbabwe";716.00;2349.40;2117.97;1973.05;1909.33;1888.98;1884.17;1883.32;1883.21;1883.20;1883.20
"ESP";"Spain";724.00;5687.06;5673.73;5660.48;5647.31;5634.23;5621.23;5608.33;5595.52;5582.80;5570.18
"ESH";"Western Sahara";732.00;273.60;258.98;238.79;220.05;206.76;199.23;195.75;194.43;194.01;193.90
"SDN";"Sudan";729.00;6624.22;6434.96;6109.25;5728.92;5371.77;5087.33;4890.59;4770.89;4706.36;4675.38
"SUR";"Suriname";740.00;2923.88;2781.89;2675.83;2604.18;2560.14;2535.42;2522.69;2516.69;2514.08;2513.04
"SJM";"Svalbard and Jan Mayen Islands";744.00;266.09;259.23;253.19;248.03;243.73;240.25;237.48;235.35;233.73;232.54
"SWZ";"Swaziland";748.00;2810.20;2533.38;2360.04;2283.82;2259.47;2253.72;2252.71;2252.57;2252.56;2252.56
"SWE";"Sweden";752.00;4016.72;3979.22;3942.83;3907.64;3873.71;3841.11;3809.89;3780.08;3751.70;3724.77
"CHE";"Switzerland";756.00;4571.39;4463.76;4361.91;4267.53;4181.78;4105.32;4038.36;3980.74;3931.99;3891.42
"SYR";"Syrian Arab Republic";760.00;10707.84;10476.00;10265.61;10078.27;9914.44;9773.67;9654.76;9555.98;9475.25;9410.31
"TJK";"Tajikistan";762.00;6214.88;6054.55;5913.61;5793.09;5692.71;5611.22;5546.67;5496.77;5459.09;5431.30
"THA";"Thailand";764.00;5898.73;5472.71;5159.98;4970.30;4873.59;4831.76;4816.31;4811.41;4810.08;4809.77
"TGO";"Togo";768.00;6464.85;6280.14;5962.27;5591.08;5242.53;4964.93;4772.92;4656.11;4593.13;4562.89
"TKL";"Tokelau";772.00;216.78;222.67;227.85;232.22;235.70;238.24;239.78;240.29;240.20;239.90
